name;description;image_url;price
Σαλονικιός Χαλβάς Φιστίκι Χύμα 500γρ. (5,60€/κιλό);;https://i0.wp.com/www.bakalmarket.gr/wp-content/uploads/2023/02/13465-768x768-1.jpg?resize=170%2C170&ssl=1;2.8
ΧΡΥΣΕΛΙΑ Έξτρα Παρθένο Ελαιόλαδο 4lt (13,30 €/λίτρο);;https://i0.wp.com/www.bakalmarket.gr/wp-content/uploads/2023/01/58571.jpg?resize=170%2C170&ssl=1;53.2
ΟΡΕΙΝΟ Ημίσκληρο τυρί   ~500γρ.     (10,88€/κιλό);;https://i0.wp.com/www.bakalmarket.gr/wp-content/uploads/2022/11/39eee751af30032eeece2f48de2de4ba_L.jpg?resize=170%2C170&ssl=1;5.44
ΑΡΒΑΝΙΤΗ Ντόπιο Τυρί Τάπερ 4kg σε  μερίδες  (8,29€/ κιλό);;https://i0.wp.com/www.bakalmarket.gr/wp-content/uploads/2022/11/showthumb-1.jpg?resize=170%2C170&ssl=1;33.12
ΚΟΛΙΟΣ Άσπρο χύμα δοχείο   1000γρ.        (6,96€/κιλό);;https://i0.wp.com/www.bakalmarket.gr/wp-content/uploads/2022/11/Aspro-tin-15kg.png?resize=170%2C170&ssl=1;6.96
Σταθώρη Πετρωτό Κατσικίσιο Τυρί  δοχείο (5 κιλά)  (13,60€/κιλό);;https://i0.wp.com/www.bakalmarket.gr/wp-content/uploads/2022/09/PETROTO-5KG_MG_3720.jpg?resize=170%2C170&ssl=1;68.0
Γρεβενών Κατσικίσιο  Τυρί Τζιάλλα  Τάπερ  ~7,900 γρ. (10,39/κιλό);;;82.0
ΜΑΧΙ Χαρτί υγείας 2φυλλο 115γρ.  40 ΡΟΛΑ  (3,24€/κιλό);;https://i0.wp.com/www.bakalmarket.gr/wp-content/uploads/2022/07/35507.jpg?resize=170%2C170&ssl=1;14.89
Γαϊτατζή Ελιές Θρούμπες 600γρ. (6,82€/κιλό);;https://i0.wp.com/www.bakalmarket.gr/wp-content/uploads/2022/01/taper-600g-throubes.jpg?resize=170%2C170&ssl=1;4.09
Green cola αναψυκτικό 1,5 lt  (0,88€/λίτρο);;https://i0.wp.com/www.bakalmarket.gr/wp-content/uploads/2021/12/green_cola_pet-1.5l_gr-superbrands.png?resize=170%2C170&ssl=1;1.32
Douwe Egberts Στιγμιαίος Καφές 95γρ. (72,10€/κιλό);;https://i0.wp.com/www.bakalmarket.gr/wp-content/uploads/2021/12/3303_4-200x200_crop_thumb.jpg?resize=170%2C170&ssl=1;6.85
Φέτα Βαλμά ΠΟΠ Χύμα ~1000γρ. ( Τιμή κιλού   10,90 ευρώ    η τελική τιμή προϊόντος  θα  διαμορφωθεί κατά το ζύγισμα) );;https://i0.wp.com/www.bakalmarket.gr/wp-content/uploads/2021/12/D9qt3Y7zEq5xtXJVh1yg.jpeg?resize=170%2C170&ssl=1;10.9
Cavino Philoxenia  Κρασί Λευκό 750ml  1+1Δώρο  (3,13€/λίτρο);;https://i0.wp.com/www.bakalmarket.gr/wp-content/uploads/2021/11/cavino-philoxenia-dry-white-wine-750ml.png?resize=170%2C170&ssl=1;4.7
